timestamp_ms,update_count,mid_price,best_bid,best_ask,spread,latency_ns,num_updates,imbalance,buy_aggression,sell_aggression,aggression_ratio,nearest_ask_wall_price,nearest_ask_wall_qty,nearest_bid_wall_price,nearest_bid_wall_qty,wall_event
1772057334062,112,69017.67,69017.66,69017.67,0.01,110427,62,0.2494,1555.6206,1327.9158,0.5395,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $66500.000  17.1 BTC
1772057335111,113,69017.65,69017.65,69017.66,0.01,111844,397,0.0162,1549.6405,1346.7896,0.5350,69063.31,6.13,68893.99,7.26,[WALL GONE !!!] ASK $69167.340  was 7.24 BTC << SPOOF?
1772057336069,114,69017.65,69017.65,69017.66,0.01,244057,145,0.1260,1553.2119,1346.0742,0.5357,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $52000.000  334. BTC
1772057337064,115,69017.65,69017.65,69017.66,0.01,61160,105,0.0904,1533.4881,1324.5681,0.5365,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $52000.000  334. BTC
1772057338061,116,69017.65,69017.65,69017.66,0.01,54243,43,0.0918,1499.4251,1295.4542,0.5365,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $52000.000  334. BTC
1772057339061,117,69017.65,69017.65,69017.66,0.01,65178,28,0.0243,1476.6558,1278.5646,0.5359,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $52000.000  334. BTC
1772057340063,118,69017.65,69017.65,69017.66,0.01,19792,20,0.0209,1472.4146,1272.9986,0.5363,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $52000.000  334. BTC
1772057341064,119,69017.65,69017.65,69017.66,0.01,144088,104,0.0158,1425.1549,1284.8271,0.5259,69063.31,6.13,68990.25,6.13,[WALL APPEARED] BID $68990.250  6.12 BTC
1772057342080,120,69024.96,69024.95,69024.96,0.01,478514,1045,0.8019,1507.0934,1317.2032,0.5336,69063.31,6.13,68990.25,6.13,[WALL APPEARED] ASK $69167.020  7.24 BTC
1772057343080,121,69017.65,69017.65,69017.66,0.01,398729,841,0.5516,1544.6376,1376.8696,0.5287,69063.31,6.13,68893.99,7.26,[WALL GONE !!!] ASK $69167.020  was 7.24 BTC << SPOOF?
1772057344066,122,69017.65,69017.65,69017.66,0.01,89469,128,0.4936,1545.4461,1381.1275,0.5281,69063.31,6.13,68893.99,7.26,[WALL GONE !!!] ASK $69167.020  was 7.24 BTC << SPOOF?
